公司代號,公司名稱,當月營收,上月營收,去年當月營收,上月比較增減(%),去年同月增減(%),當月累計營收,去年累計營收,前期比較增減(%),備註
1530,亞崴,338983,328529,326304,3.18,3.88,1710729,1881478,-9.07,-
1531,高林股,206068,189423,190947,8.78,7.91,1200233,1309453,-8.34,-
1532,勤美,1128748,1133120,1300329,-0.38,-13.19,6968207,8281150,-15.85,-
1535,中宇,645131,562934,810748,14.6,-20.42,4350744,5032766,-13.55,-
1537,廣隆,604197,571688,584177,5.68,3.42,3347977,3453824,-3.06,-
1538,正峰,59811,62571,96780,-4.41,-38.19,332093,423301,-21.54,-
1539,巨庭,218574,260572,253454,-16.11,-13.76,1466550,1393866,5.21,-
1540,喬福,46053,46734,77507,-1.45,-40.58,285213,508855,-43.95,大陸市場衰退
1541,錩泰,287923,245198,250484,17.42,14.94,1673054,1310474,27.66,-
1558,伸興,556166,543489,668924,2.33,-16.85,2822739,2879274,-1.96,-
1560,中砂,341300,353048,344776,-3.32,-1.0,1938722,2070242,-6.35,-
1583,程泰,551906,586626,649153,-5.91,-14.98,3012255,3682379,-18.19,-
1597,直得,87815,92896,79321,-5.46,10.7,484777,517851,-6.38,-
2049,上銀,1549257,1482095,1464402,4.53,5.79,7339909,7959794,-7.78,-
2241,艾姆勒,55140,49152,24591,12.18,124.22,234801,98558,138.23,主要係客戶訂單成長
2371,大同,5996149,6589408,7774298,-9.0,-22.87,38979651,47845550,-18.53,-
3167,大量,195647,170097,167338,15.02,16.91,958969,1056669,-9.24,-
4526,東台,911736,893953,965804,1.98,-5.59,4356879,4152502,4.92,-
4532,瑞智,1704254,1721729,1409258,-1.01,20.93,9467165,8892279,6.46,-
4540,全球傳動,143839,139191,144602,3.33,-0.52,788431,896405,-12.04,-
4555,氣立,141957,133666,160296,6.2,-11.44,661055,665016,-0.59,-
4562,穎漢,112304,121774,110122,-7.77,1.98,578138,553086,4.52,-
4564,元翎,155317,0,118377,,31.2,1000001,616978,62.08,-
8222,寶一,81034,74701,80265,8.47,0.95,525922,451035,16.6,-
8374,羅昇,298046,316178,366499,-5.73,-18.67,1771498,2084162,-15.0,-
8996,高力,231351,242020,173189,-4.4,33.58,1345767,1041808,29.17,-
1603,華電,238817,299534,251511,-20.27,-5.04,1317133,1437756,-8.38,-
1604,聲寶,1232064,1077117,1155685,14.38,6.6,5926602,5467889,8.38,-
1605,華新,11438807,12092319,12548475,-5.4,-8.84,66781205,75159630,-11.14,-
1608,華榮,741697,504077,766842,47.13,-3.27,3460993,4476698,-22.68,-
1609,大亞,1333842,1149225,1230327,16.06,8.41,6821483,7639304,-10.7,-
1611,中電,216934,215786,204492,0.53,6.08,1343204,1360407,-1.26,-
1612,宏泰,276073,256240,248566,7.74,11.06,1540202,1581085,-2.58,-
1614,三洋電,646575,535315,741924,20.78,-12.85,3111868,2714914,14.62,-
1615,大山,248632,161044,132370,54.38,87.83,1061570,1190750,-10.84,"配合客戶訂單交期,本月營收較去年同期增加了87.83%"
1616,億泰,258212,251105,262979,2.83,-1.81,1451449,1788298,-18.83,-
1617,榮星,191216,213092,248424,-10.26,-23.02,1219392,1517818,-19.66,-
1618,合機,328623,193362,89729,69.95,266.23,1052296,805229,30.68,"105年6月超高壓線及其相關附屬器材出貨量較去年同期增加,故營收增加約2.1億"
4930,燦星網,1005542,872790,994705,15.21,1.08,5710443,6418583,-11.03,-
5283,禾聯碩,678730,546185,658401,24.26,3.08,3140363,2384958,31.67,-
1708,東鹼,350046,333550,388649,4.94,-9.93,2016871,2344751,-13.98,-
1709,和益,755641,865249,698297,-12.66,8.21,4746407,5378130,-11.74,-
1710,東聯,1576403,1053287,1287904,49.66,22.4,7361192,6910208,6.52,-
1711,永光,778108,824152,798532,-5.58,-2.55,4799952,4897101,-1.98,-
1712,興農,1279772,1371014,1522774,-6.65,-15.95,8331762,9166296,-9.1,-
